,Id,tm_Id,Name,Team,Nationality,Date of Birth,Height,Strong Foot,Position,Joined,Contract Expires,Followers
486624,898,486624,Musa Barrow,Bologna FC 1909,The Gambia,"Nov 14, 1998","1,84 m",right,Forward - Centre-Forward,"Jan 17, 2020",30.06.2024,50876
99180,899,99180,Federico Santander,Bologna FC 1909,Paraguay,"Jun 4, 1991","1,87 m",right,Forward - Centre-Forward,"Jul 1, 2018",30.06.2022,no info
39099,900,39099,Rodrigo Palacio,Bologna FC 1909,Argentina Spain,"Feb 5, 1982","1,76 m",right,Forward - Centre-Forward,"Aug 17, 2017",30.06.2020,no info
242359,901,242359,Juan Musso,Udinese Calcio,Argentina Italy,"May 6, 1994","1,91 m",right,Goalkeeper,"Jul 11, 2018",30.06.2023,74157
99523,902,99523,Nícolas,Udinese Calcio,Brazil Italy,"Apr 12, 1988","1,90 m",right,Goalkeeper,"Jul 18, 2019",30.06.2021,no info
301240,903,301240,Samuele Perisan,Udinese Calcio,Italy,"Aug 21, 1997","1,92 m",left,Goalkeeper,"Jul 1, 2016",30.06.2020,no info
410158,904,410158,Rodrigo Becão,Udinese Calcio,Brazil,"Jan 19, 1996","1,91 m",right,Defender - Centre-Back,"Jul 6, 2019",30.06.2024,58423
255744,905,255744,Samir,Udinese Calcio,Brazil,"Dec 5, 1994","1,88 m",left,Defender - Centre-Back,"Jan 13, 2016",30.06.2023,no info
192875,906,192875,William Troost-Ekong,Udinese Calcio,Nigeria Netherlands,"Sep 1, 1993","1,91 m",right,Defender - Centre-Back,"Aug 17, 2018",30.06.2023,125594
104597,907,104597,Bram Nuytinck,Udinese Calcio,Netherlands,"May 4, 1990","1,90 m",left,Defender - Centre-Back,"Jul 29, 2017",30.06.2021,no info
37981,908,37981,Sebastian Prödl,Udinese Calcio,Austria,"Jun 21, 1987","1,94 m",right,Defender - Centre-Back,"Feb 4, 2020",30.06.2021,27844
56830,909,56830,Sebastien De Maio,Udinese Calcio,France Italy,"Mar 5, 1987","1,90 m",right,Defender - Centre-Back,"Jul 1, 2019",30.06.2022,5932
92899,910,92899,Marvin Zeegelaar,Udinese Calcio,Netherlands Suriname,"Aug 12, 1990","1,86 m",left,Defender - Left-Back,"Jan 24, 2020",30.06.2022,24715
69646,911,69646,Jens Stryger Larsen,Udinese Calcio,Denmark,"Feb 21, 1991","1,80 m",both,Defender - Right-Back,"Aug 24, 2017",30.06.2022,19456
258519,912,258519,Hidde ter Avest,Udinese Calcio,Netherlands,"May 20, 1997","1,82 m",right,Defender - Right-Back,"Jul 1, 2018",30.06.2022,12766
308279,913,308279,Rolando Mandragora,Udinese Calcio,Italy,"Jun 29, 1997","1,83 m",left,Midfielder - Defensive Midfield,"Jul 26, 2018",30.06.2023,123054
323954,914,323954,Walace,Udinese Calcio,Brazil,"Apr 4, 1995","1,88 m",right,Midfielder - Defensive Midfield,"Aug 12, 2019",30.06.2024,215286
47513,915,47513,Mato Jajalo,Udinese Calcio,Bosnia-Herzegovina Croatia,"May 25, 1988","1,82 m",right,Midfielder - Defensive Midfield,"Jul 1, 2019",30.06.2022,no info
182893,916,182893,Seko Fofana,Udinese Calcio,Cote d'Ivoire France,"May 7, 1995","1,83 m",both,Midfielder - Central Midfield,"Jul 1, 2016",30.06.2022,no info
252345,917,252345,Ken Sema,Udinese Calcio,Sweden DR Congo,"Sep 30, 1993","1,80 m",left,Midfielder - Left Midfield,"Aug 22, 2019",30.06.2020,24773
255901,918,255901,Rodrigo de Paul,Udinese Calcio,Argentina Italy,"May 24, 1994","1,80 m",right,Midfielder - Attacking Midfield,"Jul 20, 2016",30.06.2024,824399
131951,919,131951,Kevin Lasagna,Udinese Calcio,Italy,"Aug 10, 1992","1,81 m",left,Forward - Centre-Forward,"Jan 14, 2017",30.06.2023,34587
35249,920,35249,Stefano Okaka,Udinese Calcio,Italy Nigeria,"Aug 9, 1989","1,86 m",right,Forward - Centre-Forward,"Sep 2, 2019",30.06.2022,no info
54581,921,54581,Ilija Nestorovski,Udinese Calcio,North Macedonia,"Mar 12, 1990","1,82 m",left,Forward - Centre-Forward,"Jul 26, 2019",30.06.2022,26155
157849,922,157849,Lukasz Teodorczyk,Udinese Calcio,Poland,"Jun 3, 1991","1,88 m",right,Forward - Centre-Forward,"Aug 17, 2018",30.06.2022,no info
197749,923,197749,Emanuele Rovini,Udinese Calcio,Italy,"Feb 20, 1995","1,70 m",left,Forward - Centre-Forward,"Jul 1, 2015",30.06.2020,no info
85528,924,85528,Marco Silvestri,Hellas Verona,Italy,"Mar 2, 1991","1,91 m",right,Goalkeeper,"Jul 19, 2017",30.06.2021,28232
487258482,925,487258482,Boris Radunović,Hellas Verona,Serbia,"May 26, 1996","1,94 m",right,Goalkeeper,"Jul 15, 2019",30.06.2020,10003
127217,926,127217,Alessandro Berardi,Hellas Verona,Italy,"Jan 16, 1991","1,85 m",right,Goalkeeper,"Dec 14, 2018",30.06.2021,3285
257732,927,257732,Amir Rrahmani,Hellas Verona,Kosovo Albania,"Feb 24, 1994","1,92 m",both,Defender - Centre-Back,"Jan 21, 2020",30.06.2020,67693
371371,928,371371,Marash Kumbulla,Hellas Verona,Albania Italy,"Feb 8, 2000","1,85 m",right,Defender - Centre-Back,"Jul 1, 2018",30.06.2022,17042
248732,929,248732,Pawel Dawidowicz,Hellas Verona,Poland,"May 20, 1995","1,89 m",both,Defender - Centre-Back,"Jul 1, 2019",30.06.2022,2820
115763,930,115763,Koray Günter,Hellas Verona,Germany Turkey,"Aug 16, 1994","1,84 m",right,Defender - Centre-Back,"Jul 19, 2019",30.06.2020,no info
42678,931,42678,Salvatore Bocchetti,Hellas Verona,Italy,"Nov 30, 1986","1,86 m",left,Defender - Centre-Back,"Jul 25, 2019",30.06.2021,81588
169179,932,169179,Alan Empereur,Hellas Verona,Brazil Italy,"Mar 10, 1994","1,86 m",left,Defender - Centre-Back,"Aug 17, 2018",30.06.2021,13104
459655,933,459655,Matteo Lovato,Hellas Verona,Italy,"Feb 14, 2000","1,88 m",right,Defender - Centre-Back,"Jan 31, 2020",30.06.2024,no info
198116,934,198116,Federico Dimarco,Hellas Verona,Italy,"Nov 10, 1997","1,75 m",left,Defender - Left-Back,"Jan 31, 2020",30.06.2020,no info
337716,935,337716,Claud Adjapong,Hellas Verona,Italy Ghana,"May 6, 1998","1,80 m",right,Defender - Right-Back,"Aug 21, 2019",30.06.2020,24638
73926,936,73926,Davide Faraoni,Hellas Verona,Italy,"Oct 25, 1991","1,80 m",right,Defender - Right-Back,"Jul 1, 2019",30.06.2022,no info
43848,937,43848,Miguel Veloso,Hellas Verona,Portugal,"May 11, 1986","1,80 m",left,Midfielder - Defensive Midfield,"Jul 20, 2019",30.06.2020,187431
319171,938,319171,Andrea Danzi,Hellas Verona,Italy,"Feb 25, 1999","1,75 m",right,Midfielder - Defensive Midfield,"Jul 1, 2018",30.06.2022,5826
287579,939,287579,Sofyan Amrabat,Hellas Verona,Morocco Netherlands,"Aug 21, 1996","1,85 m",right,Midfielder - Central Midfield,"Jan 31, 2020",30.06.2020,452931
283735,940,283735,Mattia Zaccagni,Hellas Verona,Italy,"Jun 16, 1995","1,77 m",right,Midfielder - Central Midfield,-,30.06.2022,20124
332179,941,332179,Matteo Pessina,Hellas Verona,Italy,"Apr 21, 1997","1,87 m",left,Midfielder - Central Midfield,"Aug 26, 2019",30.06.2020,25256
108484,942,108484,Emmanuel Badu,Hellas Verona,Ghana,"Dec 2, 1990","1,73 m",right,Midfielder - Central Midfield,"Jul 13, 2019",30.06.2020,no info
538063,943,538063,Lucas Felippe,Hellas Verona,Brazil Spain,"May 3, 2000","1,78 m",left,Midfielder - Central Midfield,"Jul 1, 2019",30.06.2022,no info
70411,944,70411,Darko Lazovic,Hellas Verona,Serbia,"Sep 15, 1990","1,81 m",right,Midfielder - Left Midfield,"Aug 6, 2019",30.06.2022,no info
162961,945,162961,Valerio Verre,Hellas Verona,Italy,"Jan 11, 1994","1,81 m",both,Midfielder - Attacking Midfield,"Aug 10, 2019",30.06.2020,27549
126687,946,126687,Valentin Eysseric,Hellas Verona,France,"Mar 25, 1992","1,81 m",right,Midfielder - Attacking Midfield,"Jan 31, 2020",30.06.2020,no info
96754,947,96754,Fabio Borini,Hellas Verona,Italy,"Mar 29, 1991","1,80 m",right,Forward - Left Winger,"Jan 14, 2020",30.06.2020,354493
459661,948,459661,Eddie Salcedo,Hellas Verona,Italy Colombia,"Oct 1, 2001","1,78 m",right,Forward - Centre-Forward,"Aug 31, 2019",30.06.2020,58309
210363,949,210363,Mariusz Stepinski,Hellas Verona,Poland,"May 12, 1995","1,83 m",right,Forward - Centre-Forward,"Jan 19, 2020",30.06.2024,122421
45389,950,45389,Samuel Di Carmine,Hellas Verona,Italy,"Sep 29, 1988","1,87 m",right,Forward - Centre-Forward,"Jul 1, 2019",30.06.2021,8623
19447,951,19447,Giampaolo Pazzini,Hellas Verona,Italy,"Aug 2, 1984","1,80 m",right,Forward - Centre-Forward,"Jul 12, 2015",30.06.2020,no info
131758,952,131758,Jesse Joronen,Brescia Calcio,Finland,"Mar 21, 1993","1,97 m",right,Goalkeeper,"Jul 11, 2019",30.06.2022,12192
34334,953,34334,Enrico Alfonso,Brescia Calcio,Italy,"May 4, 1988","1,91 m",right,Goalkeeper,"Jul 9, 2018",30.06.2021,15275
234880,954,234880,Lorenzo Andrenacci,Brescia Calcio,Italy,"Jan 2, 1995","1,88 m",right,Goalkeeper,"Jul 1, 2014",30.06.2021,no info
337381,955,337381,Andrea Cistana,Brescia Calcio,Italy,"Apr 1, 1997","1,85 m",right,Defender - Centre-Back,"Jul 1, 2016",30.06.2021,no info
213614,956,213614,Jhon Chancellor,Brescia Calcio,Venezuela,"Jan 2, 1992","1,97 m",right,Defender - Centre-Back,"Jul 21, 2019",30.06.2022,40790
7096,957,7096,Daniele Gastaldello,Brescia Calcio,Italy,"Jun 25, 1983","1,87 m",right,Defender - Centre-Back,"Aug 25, 2017",30.06.2020,no info
395805,958,395805,Massimiliano Mangraviti,Brescia Calcio,Italy,"Jan 24, 1998","1,88 m",left,Defender - Centre-Back,"Jul 1, 2016",30.06.2022,3033
242078,959,242078,Ales Mateju,Brescia Calcio,Czech Republic,"Jun 3, 1996","1,85 m",right,Defender - Left-Back,"Jul 1, 2019",-,9328
164108,960,164108,Bruno Martella,Brescia Calcio,Italy,"Aug 14, 1992","1,83 m",left,Defender - Left-Back,"Jul 1, 2019",30.06.2022,11508
167491,961,167491,Stefano Sabelli,Brescia Calcio,Italy,"Jan 13, 1993","1,76 m",right,Defender - Right-Back,"Jul 1, 2018",30.06.2021,24434
315843,962,315843,Alessandro Semprini,Brescia Calcio,Italy,"Feb 24, 1998","1,83 m",right,Defender - Right-Back,"Jul 1, 2017",30.06.2021,no info
397033,963,397033,Sandro Tonali,Brescia Calcio,Italy,"May 8, 2000","1,81 m",right,Midfielder - Defensive Midfield,"Jan 1, 2018",30.06.2021,no info
403845,964,403845,Mattia Viviani,Brescia Calcio,Italy,"Sep 4, 2000","1,83 m",right,Midfielder - Defensive Midfield,"Mar 22, 2018",30.06.2021,3414
163216,965,163216,Dimitri Bisoli,Brescia Calcio,Italy,"Mar 25, 1994","1,80 m",right,Midfielder - Central Midfield,"Jul 1, 2017",30.06.2024,10296
287717,966,287717,Emanuele Ndoj,Brescia Calcio,Albania Italy,"Nov 20, 1996","1,89 m",right,Midfielder - Central Midfield,"Jan 31, 2016",30.06.2022,5669
121756,967,121756,Rômulo,Brescia Calcio,Italy Brazil,"May 22, 1987","1,78 m",right,Midfielder - Central Midfield,"Sep 2, 2019",30.06.2020,49641
34453,968,34453,Birkir Bjarnason,Brescia Calcio,Iceland,"May 27, 1988","1,84 m",right,Midfielder - Central Midfield,"Jan 18, 2020",30.06.2021,123125
29962,969,29962,Daniele Dessena,Brescia Calcio,Italy,"May 10, 1987","1,82 m",right,Midfielder - Central Midfield,"Jan 10, 2019",30.06.2021,65
235413,970,235413,Jaromir Zmrhal,Brescia Calcio,Czech Republic,"Aug 2, 1993","1,89 m",left,Midfielder - Left Midfield,"Aug 6, 2019",30.06.2023,no info
243239,971,243239,Nikolas Spalek,Brescia Calcio,Slovakia,"Feb 12, 1997","1,71 m",right,Midfielder - Attacking Midfield,"Jan 22, 2018",30.06.2022,6853
45146,972,45146,Mario Balotelli,Brescia Calcio,Italy Ghana,"Aug 12, 1990","1,89 m",right,Forward - Centre-Forward,"Aug 18, 2019",30.06.2022,9120976
130485,973,130485,Alfredo Donnarumma,Brescia Calcio,Italy,"Nov 30, 1990","1,80 m",right,Forward - Centre-Forward,"Jul 13, 2018",30.06.2022,44524
159883,974,159883,Ernesto Torregrossa,Brescia Calcio,Italy Venezuela,"Jun 28, 1992","1,84 m",left,Forward - Centre-Forward,"Jan 31, 2018",30.06.2022,33091
372713,975,372713,Florian Ayé,Brescia Calcio,France Benin,"Jan 19, 1997","1,84 m",right,Forward - Centre-Forward,"Jul 5, 2019",30.06.2022,8674
187047,976,187047,Simon Skrabb,Brescia Calcio,Finland,"Jan 19, 1995","1,74 m",right,Forward - Centre-Forward,"Jan 13, 2020",30.06.2023,3857
77825,977,77825,Etrit Berisha,SPAL,Albania Sweden,"Mar 10, 1989","1,94 m",left,Goalkeeper,"Jul 6, 2019",30.06.2020,61766
318707,978,318707,Karlo Letica,SPAL,Croatia,"Feb 11, 1997","2,01 m",right,Goalkeeper,"Aug 20, 2019",30.06.2020,13692
435406,979,435406,Demba Thiam,SPAL,Senegal,"Mar 5, 1998","2,02 m",right,Goalkeeper,"Jul 1, 2017",30.06.2020,no info
240158,980,240158,Francesco Vicari,SPAL,Italy,"Aug 3, 1994","1,90 m",right,Defender - Centre-Back,"Aug 11, 2016",30.06.2022,no info
247377,981,247377,Kevin Bonifazi,SPAL,Italy,"May 19, 1996","1,87 m",right,Defender - Centre-Back,"Jan 24, 2020",30.06.2020,63150
44059,982,44059,Ervin Zukanovic,SPAL,Bosnia-Herzegovina,"Feb 11, 1987","1,88 m",left,Defender - Centre-Back,"Jan 31, 2020",30.06.2020,55588
79510,983,79510,Thiago Cionek,SPAL,Poland Brazil,"Apr 21, 1986","1,83 m",right,Defender - Centre-Back,"Jan 13, 2018",30.06.2020,52057
48747085,984,48747085,Nenad Tomović,SPAL,Serbia,"Aug 30, 1987","1,84 m",right,Defender - Centre-Back,"Aug 22, 2019",30.06.2020,no info
71019,985,71019,Bartosz Salamon,SPAL,Poland,"May 1, 1991","1,94 m",right,Defender - Centre-Back,"Jul 1, 2018",30.06.2021,42311
17127,986,17127,Felipe,SPAL,Brazil Italy,"Jul 31, 1984","1,88 m",left,Defender - Centre-Back,"Jul 3, 2017",30.06.2020,no info
479709,987,479709,Paolo Cannistrà,SPAL,Italy,"Nov 3, 2000","1,76 m",right,Defender - Centre-Back,"Jul 1, 2019",-,no info
268178,988,268178,Arkadiusz Reca,SPAL,Poland,"Jun 17, 1995","1,87 m",left,Defender - Left-Back,"Aug 28, 2019",30.06.2020,no info
401065,989,401065,Riccardo Mastrilli,SPAL,Italy,"May 30, 1997","1,85 m",left,Defender - Left-Back,"Jul 13, 2017",-,no info
96806,990,96806,Jacopo Sala,SPAL,Italy,"Dec 5, 1991","1,81 m",right,Defender - Right-Back,"Sep 2, 2019",30.06.2020,no info
35747,991,35747,Simone Missiroli,SPAL,Italy,"May 23, 1986","1,91 m",right,Midfielder - Defensive Midfield,"Aug 17, 2018",30.06.2021,no info
84903,992,84903,Mirko Valdifiori,SPAL,Italy,"Apr 21, 1986","1,85 m",right,Midfielder - Defensive Midfield,"Aug 16, 2018",30.06.2020,no info
289061,993,289061,Alessandro Murgia,SPAL,Italy,"Aug 9, 1996","1,85 m",right,Midfielder - Central Midfield,"Jul 12, 2019",30.06.2024,no info
105892,994,105892,Lucas Castro,SPAL,Argentina,"Apr 9, 1989","1,82 m",right,Midfielder - Central Midfield,"Jan 31, 2020",30.06.2020,115575
149446,995,149446,Bryan Dabo,SPAL,Burkina Faso France,"Feb 18, 1992","1,87 m",right,Midfielder - Central Midfield,"Jan 13, 2020",30.06.2020,48463
167741,996,167741,Mattia Valoti,SPAL,Italy,"Sep 6, 1993","1,81 m",right,Midfielder - Central Midfield,"Jul 1, 2019",30.06.2021,12370
363610,997,363610,Georgi Tunjov,SPAL,Estonia,"Apr 17, 2001","1,86 m",left,Midfielder - Central Midfield,"Feb 13, 2020",30.06.2023,1647
99232,998,99232,Marco D'Alessandro,SPAL,Italy,"Feb 17, 1991","1,73 m",right,Midfielder - Right Midfield,"Jul 10, 2019",30.06.2020,no info
457673,999,457673,Gabriel Strefezza,SPAL,Brazil Italy,"Apr 18, 1997","1,68 m",right,Midfielder - Right Midfield,"Mar 30, 2017",30.06.2022,7266
287700,1000,287700,Mohamed Fares,SPAL,Algeria France,"Feb 15, 1996","1,83 m",left,Midfielder - Left Midfield,"Jul 1, 2019",30.06.2022,101665
38607,1001,38607,Federico Di Francesco,SPAL,Italy,"Jun 14, 1994","1,71 m",right,Forward - Left Winger,"Jul 26, 2019",30.06.2020,no info
199258,1002,199258,Andrea Petagna,SPAL,Italy,"Jun 30, 1995","1,90 m",left,Forward - Centre-Forward,"Jan 31, 2020",30.06.2020,468172
197751,1003,197751,Alberto Cerri,SPAL,Italy,"Apr 16, 1996","1,94 m",right,Forward - Centre-Forward,"Jan 31, 2020",30.06.2020,52792
30638,1004,30638,Sergio Floccari,SPAL,Italy,"Nov 12, 1981","1,80 m",right,Forward - Centre-Forward,"Jan 19, 2017",30.06.2020,no info
79242,1005,79242,Gabriel,US Lecce,Brazil,"Sep 27, 1992","1,93 m",right,Goalkeeper,"Jul 3, 2019",30.06.2021,101348
88595,1006,88595,Mauro Vigorito,US Lecce,Italy,"May 22, 1990","1,87 m",right,Goalkeeper,"Jul 31, 2018",30.06.2022,11287
297367,1007,297367,Gianmarco Chironi,US Lecce,Italy,"Sep 7, 1997","1,83 m",right,Goalkeeper,"Jul 1, 2014",30.06.2020,6335
160561,1008,160561,Fabio Lucioni,US Lecce,Italy,"Sep 25, 1987","1,85 m",left,Defender - Centre-Back,"Jul 20, 2018",30.06.2021,24214
124002,1009,124002,Biagio Meccariello,US Lecce,Italy,"Mar 27, 1991","1,87 m",right,Defender - Centre-Back,"Jul 1, 2019",30.06.2021,no info
60128,1010,60128,Luca Rossettini,US Lecce,Italy,"May 9, 1985","1,87 m",right,Defender - Centre-Back,"Jul 12, 2019",30.06.2021,no info
284724,1011,284724,Nehuén Paz,US Lecce,Argentina Italy,"Apr 28, 1993","1,91 m",left,Defender - Centre-Back,"Jan 31, 2020",30.06.2020,22927
75327,1012,75327,Marco Calderoni,US Lecce,Italy,"Feb 18, 1989","1,83 m",left,Defender - Left-Back,"Jul 18, 2018",30.06.2020,no info
240244,1013,240244,Cristian Dell'Orco,US Lecce,Italy,"Feb 10, 1994","1,83 m",left,Defender - Left-Back,"Aug 9, 2019",30.06.2020,no info
642967,1014,642967,Brayan Vera,US Lecce,Colombia,"Jan 15, 1999","1,80 m",left,Defender - Left-Back,"Jul 1, 2019",30.06.2023,no info
88684,1015,88684,Giulio Donati,US Lecce,Italy,"Feb 5, 1990","1,78 m",right,Defender - Right-Back,"Dec 16, 2019",30.06.2020,29487
74448,1016,74448,Andrea Rispoli,US Lecce,Italy,"Sep 29, 1988","1,88 m",right,Defender - Right-Back,"Aug 13, 2019",30.06.2021,34327
218067,1017,218067,Jacopo Petriccione,US Lecce,Italy,"Feb 22, 1995","1,76 m",right,Midfielder - Defensive Midfield,"Aug 3, 2018",30.06.2023,no info
62415,1018,62415,Panagiotis Tachtsidis,US Lecce,Greece,"Feb 15, 1991","1,91 m",left,Midfielder - Defensive Midfield,"Jul 1, 2019",30.06.2022,36381
272261,1019,272261,Antonin Barak,US Lecce,Czech Republic,"Dec 3, 1994","1,90 m",left,Midfielder - Central Midfield,"Jan 28, 2020",30.06.2020,no info
58970,1020,58970,Yevhen Shakhov,US Lecce,Ukraine,"Nov 30, 1990","1,89 m",right,Midfielder - Central Midfield,"Jul 1, 2019",30.06.2021,26241
180805,1021,180805,Zan Majer,US Lecce,Slovenia,"Jul 25, 1992","1,80 m",right,Midfielder - Central Midfield,"Feb 16, 2019",30.06.2022,13220
235931,1022,235931,Alessandro Deiola,US Lecce,Italy,"Aug 1, 1995","1,90 m",right,Midfielder - Central Midfield,"Jan 10, 2020",30.06.2020,no info
88909,1023,88909,Riccardo Saponara,US Lecce,Italy,"Dec 21, 1991","1,84 m",right,Midfielder - Attacking Midfield,"Jan 22, 2020",30.06.2020,149939
51736,1024,51736,Marco Mancosu,US Lecce,Italy,"Aug 22, 1988","1,80 m",right,Midfielder - Attacking Midfield,"Jul 7, 2016",30.06.2021,no info
83877,1025,83877,Diego Farias,US Lecce,Brazil Italy,"May 10, 1990","1,72 m",right,Forward - Second Striker,"Aug 13, 2019",30.06.2021,41096
70689,1026,70689,Filippo Falco,US Lecce,Italy,"Feb 11, 1992","1,71 m",left,Forward - Second Striker,"Jul 4, 2018",30.06.2022,52448
124902,1027,124902,Khouma Babacar,US Lecce,Senegal,"Mar 17, 1993 Happy Birthday","1,85 m",right,Forward - Centre-Forward,"Sep 2, 2019",30.06.2020,135645
130394,1028,130394,Gianluca Lapadula,US Lecce,Italy Peru,"Feb 7, 1990","1,78 m",left,Forward - Centre-Forward,"Jul 12, 2019",30.06.2020,259566
238223,1029,238223,Ederson,Manchester City,Brazil Portugal,"Aug 17, 1993","1,88 m",left,Goalkeeper,"Jul 1, 2017",30.06.2025,1829994
40423,1030,40423,Claudio Bravo,Manchester City,Chile Spain,"Apr 13, 1983","1,84 m",right,Goalkeeper,"Aug 25, 2016",30.06.2020,6235068
14555,1031,14555,Scott Carson,Manchester City,England,"Sep 3, 1985","1,88 m",right,Goalkeeper,"Aug 8, 2019",31.05.2020,no info
176553,1032,176553,Aymeric Laporte,Manchester City,France,"May 27, 1994","1,90 m",left,Defender - Centre-Back,"Jan 30, 2018",30.06.2025,780386
186590,1033,186590,John Stones,Manchester City,England,"May 28, 1994","1,88 m",right,Defender - Centre-Back,"Aug 9, 2016",30.06.2022,757339
54781,1034,54781,Nicolás Otamendi,Manchester City,Argentina,"Feb 12, 1988","1,83 m",right,Defender - Centre-Back,"Aug 20, 2015",30.06.2022,2581837
466794,1035,466794,Eric García,Manchester City,Spain,"Jan 9, 2001","1,83 m",right,Defender - Centre-Back,"Jul 1, 2019",30.06.2022,74736
157495,1036,157495,Benjamin Mendy,Manchester City,France Senegal,"Jul 17, 1994","1,85 m",left,Defender - Left-Back,"Jul 24, 2017",30.06.2023,2999826
203853,1037,203853,Oleksandr Zinchenko,Manchester City,Ukraine,"Dec 15, 1996","1,75 m",left,Defender - Left-Back,"Jul 4, 2016",30.06.2024,1024385
95424,1038,95424,Kyle Walker,Manchester City,England,"May 28, 1990","1,83 m",right,Defender - Right-Back,"Jul 14, 2017",30.06.2024,1765731
182712,1039,182712,João Cancelo,Manchester City,Portugal,"May 27, 1994","1,82 m",right,Defender - Right-Back,"Aug 7, 2019",30.06.2025,1675566
357565,1040,357565,Rodri,Manchester City,Spain,"Jun 22, 1996","1,91 m",right,Midfielder - Defensive Midfield,"Jul 4, 2019",30.06.2024,no info
26267,1041,26267,Fernandinho,Manchester City,Brazil,"May 4, 1985","1,79 m",right,Midfielder - Defensive Midfield,"Jul 1, 2013",30.06.2021,2472999
53622,1042,53622,Ilkay Gündogan,Manchester City,Germany,"Oct 24, 1990","1,80 m",right,Midfielder - Central Midfield,"Jul 1, 2016",30.06.2023,2752352
406635,1043,406635,Phil Foden,Manchester City,England,"May 28, 2000","1,71 m",left,Midfielder - Central Midfield,"Jul 1, 2017",30.06.2024,864380
103559,1044,103559,Mix Diskerud,Manchester City,United States Norway,"Oct 2, 1990","1,84 m",right,Midfielder - Central Midfield,"Jan 27, 2018",30.06.2022,no info
88755,1045,88755,Kevin De Bruyne,Manchester City,Belgium,"Jun 28, 1991","1,81 m",right,Midfielder - Attacking Midfield,"Aug 30, 2015",30.06.2023,10414593
35518,1046,35518,David Silva,Manchester City,Spain,"Jan 8, 1986","1,70 m",left,Midfielder - Attacking Midfield,"Jul 14, 2010",30.06.2020,1448549
134425,1047,134425,Raheem Sterling,Manchester City,England Jamaica,"Dec 8, 1994","1,70 m",right,Forward - Left Winger,"Jul 14, 2015",30.06.2023,6816535
192565,1048,192565,Leroy Sané,Manchester City,Germany France,"Jan 11, 1996","1,84 m",left,Forward - Left Winger,"Aug 2, 2016",30.06.2021,4904444
241641,1049,241641,Bernardo Silva,Manchester City,Portugal,"Aug 10, 1994","1,73 m",left,Forward - Right Winger,"Jul 1, 2017",30.06.2025,2017654
171424,1050,171424,Riyad Mahrez,Manchester City,Algeria France,"Feb 21, 1991","1,79 m",left,Forward - Right Winger,"Jul 10, 2018",30.06.2023,5002483
363205,1051,363205,Gabriel Jesus,Manchester City,Brazil,"Apr 3, 1997","1,75 m",right,Forward - Centre-Forward,"Jan 1, 2017",30.06.2023,14383770
26399,1052,26399,Sergio Agüero,Manchester City,Argentina Spain,"Jun 2, 1988","1,73 m",right,Forward - Centre-Forward,"Jul 28, 2011",30.06.2021,no info
105470,1053,105470,Alisson,Liverpool FC,Brazil,"Oct 2, 1992","1,91 m",right,Goalkeeper,"Jul 19, 2018",30.06.2024,6692431
71271,1054,71271,Adrián,Liverpool FC,Spain,"Jan 3, 1987","1,90 m",right,Goalkeeper,"Aug 5, 2019",30.06.2021,751803
340918,1055,340918,Caoimhin Kelleher,Liverpool FC,Ireland,"Nov 23, 1998","1,88 m",right,Goalkeeper,"Jul 1, 2019",-,39004
14044,1056,14044,Andy Lonergan,Liverpool FC,England,"Oct 19, 1983","1,93 m",left,Goalkeeper,"Aug 12, 2019",30.06.2020,28699
139208,1057,139208,Virgil van Dijk,Liverpool FC,Netherlands Suriname,"Jul 8, 1991","1,93 m",right,Defender - Centre-Back,"Jan 1, 2018",30.06.2023,8975823
82105,1058,82105,Joel Matip,Liverpool FC,Cameroon Germany,"Aug 8, 1991","1,95 m",right,Defender - Centre-Back,"Jul 1, 2016",30.06.2024,no info
256178,1059,256178,Joe Gomez,Liverpool FC,England The Gambia,"May 23, 1997","1,88 m",right,Defender - Centre-Back,"Jul 1, 2015",30.06.2024,1513844
37838,1060,37838,Dejan Lovren,Liverpool FC,Croatia,"Jul 5, 1989","1,88 m",right,Defender - Centre-Back,"Jul 27, 2014",30.06.2021,2702435
234803,1061,234803,Andrew Robertson,Liverpool FC,Scotland,"Mar 11, 1994","1,78 m",left,Defender - Left-Back,"Jul 21, 2017",30.06.2024,2492497
314353,1062,314353,Trent Alexander-Arnold,Liverpool FC,England,"Oct 7, 1998","1,80 m",right,Defender - Right-Back,"Jul 1, 2016",30.06.2024,3971186
85177,1063,85177,Nathaniel Clyne,Liverpool FC,England Grenada,"Apr 5, 1991","1,75 m",right,Defender - Right-Back,"Jul 1, 2015",30.06.2020,794925
225693,1064,225693,Fabinho,Liverpool FC,Brazil,"Oct 23, 1993","1,88 m",right,Midfielder - Defensive Midfield,"Jul 1, 2018",30.06.2023,1756136
49499,1065,49499,Georginio Wijnaldum,Liverpool FC,Netherlands Suriname,"Nov 11, 1990","1,75 m",right,Midfielder - Central Midfield,"Jul 22, 2016",30.06.2021,4049859
302215,1066,302215,Naby Keïta,Liverpool FC,Guinea,"Feb 10, 1995","1,72 m",right,Midfielder - Central Midfield,"Jul 1, 2018",30.06.2023,1479807
61651,1067,61651,Jordan Henderson,Liverpool FC,England,"Jun 17, 1990","1,87 m",right,Midfielder - Central Midfield,"Jul 1, 2011",30.06.2023,3560909
